date,portfolio_value,daily_pnl,zscore_SLB_HAL,position_SLB_HAL,hedgert_SLB_HAL,value_SLB_HAL,zscore_PSX_VLO,position_PSX_VLO,hedgert_PSX_VLO,value_PSX_VLO,zscore_XOM_CVX,position_XOM_CVX,hedgert_XOM_CVX,value_XOM_CVX
2025-08-12,99067.19,0.0,-1.038182,flat,0.558885,32567.44,0.310466,flat,0.825332,33166.42,-1.363041,flat,0.579484,33333.33
2025-08-13,99067.19,0.0,-0.670151,flat,0.560231,32567.44,0.441664,flat,0.82748,33166.42,-1.093566,flat,0.561491,33333.33
2025-08-14,99067.19,0.0,-1.021777,flat,0.564343,32567.44,0.539662,flat,0.829358,33166.42,-1.040466,flat,0.549696,33333.33
2025-08-15,99067.19,0.0,-1.012571,flat,0.575673,32567.44,0.578107,flat,0.835024,33166.42,-1.318395,flat,0.525082,33333.33
2025-08-18,99067.19,0.0,-0.885168,flat,0.589976,32567.44,0.372217,flat,0.823119,33166.42,-1.110618,flat,0.503544,33333.33
2025-08-19,99067.19,0.0,-0.657241,flat,0.604848,32567.44,0.003667,flat,0.813751,33166.42,-0.645673,flat,0.489254,33333.33
2025-08-20,99067.19,0.0,-0.606524,flat,0.621569,32567.44,-0.107107,flat,0.8039,33166.42,-0.465138,flat,0.471423,33333.33
2025-08-21,99067.19,0.0,-0.35911,flat,0.641915,32567.44,0.129284,flat,0.79557,33166.42,-0.457246,flat,0.450643,33333.33
2025-08-22,99067.19,0.0,0.250991,flat,0.66471,32567.44,0.553679,flat,0.793461,33166.42,-0.136854,flat,0.421872,33333.33
2025-08-25,99067.19,0.0,0.210094,flat,0.683608,32567.44,0.177769,flat,0.789754,33166.42,-0.005723,flat,0.396259,33333.33
2025-08-26,99067.19,0.0,0.338448,flat,0.709255,32567.44,0.285002,flat,0.781534,33166.42,0.020503,flat,0.362866,33333.33
2025-08-27,99067.19,0.0,0.456028,flat,0.732314,32567.44,0.298943,flat,0.780165,33166.42,0.222125,flat,0.336926,33333.33
2025-08-28,99067.19,0.0,0.505477,flat,0.761656,32567.44,0.276721,flat,0.779223,33166.42,0.362774,flat,0.318623,33333.33
2025-08-29,99067.19,0.0,0.634858,flat,0.795794,32567.44,0.31747,flat,0.771825,33166.42,0.540499,flat,0.283325,33333.33
2025-09-02,99067.19,0.0,-0.057552,flat,0.816166,32567.44,0.07358,flat,0.754358,33166.42,0.629485,flat,0.234197,33333.33
2025-09-03,99067.19,0.0,0.368286,flat,0.832215,32567.44,-0.724598,flat,0.722461,33166.42,0.16585,flat,0.193226,33333.33
2025-09-04,99067.19,0.0,0.228049,flat,0.841381,32567.44,-0.444453,flat,0.708432,33166.42,0.305729,flat,0.156472,33333.33
2025-09-05,99067.19,0.0,0.468739,flat,0.845065,32567.44,-0.576894,flat,0.691774,33166.42,-0.323435,flat,0.133396,33333.33
2025-09-08,99067.19,0.0,0.781055,flat,0.843014,32567.44,-0.875347,flat,0.671216,33166.42,-0.182363,flat,0.128364,33333.33
2025-09-09,99067.19,0.0,0.79655,flat,0.840941,32567.44,-0.862011,flat,0.650069,33166.42,-0.01347,flat,0.12781,33333.33
2025-09-10,99067.19,0.0,0.17266,flat,0.8554,32567.44,-0.61446,flat,0.641326,33166.42,0.331837,flat,0.153713,33333.33
2025-09-11,99067.19,0.0,0.354465,flat,0.871218,32567.44,-0.243659,flat,0.638315,33166.42,0.219295,flat,0.18133,33333.33
2025-09-12,99067.19,0.0,0.06935,flat,0.884272,32567.44,-0.498548,flat,0.629434,33166.42,0.252145,flat,0.205149,33333.33
2025-09-15,99067.19,0.0,-0.065306,flat,0.880418,32567.44,-0.477711,flat,0.622793,33166.42,0.279628,flat,0.230355,33333.33
2025-09-16,99067.19,0.0,-0.367467,flat,0.869366,32567.44,-0.5871,flat,0.610108,33166.42,0.688049,flat,0.271629,33333.33
2025-09-17,99067.19,0.0,-0.525829,flat,0.868221,32567.44,-0.614859,flat,0.594368,33166.42,0.748888,flat,0.315805,33333.33
2025-09-18,99067.19,0.0,-0.663836,flat,0.858522,32567.44,-0.938032,flat,0.570152,33166.42,0.486568,flat,0.330772,33333.33
2025-09-19,99067.19,0.0,-1.042129,flat,0.854394,32567.44,-1.089086,flat,0.545859,33166.42,0.368002,flat,0.340581,33333.33
2025-09-22,99067.19,0.0,-1.506619,flat,0.836078,32567.44,-1.358223,flat,0.513952,33166.42,0.188539,flat,0.367652,33333.33
2025-09-23,99050.52,0.0,-2.239331,long_spread,0.701922,32550.77,-0.971972,flat,0.486114,33166.42,0.522996,flat,0.405658,33333.33
2025-09-24,98993.15000000001,-57.38,-1.916177,long_spread,0.596964,32493.4,-0.03883,flat,0.478111,33166.42,0.516026,flat,0.433226,33333.33
2025-09-25,98837.51,-155.64,-1.74216,long_spread,0.506172,32337.76,0.180597,flat,0.481181,33166.42,0.580305,flat,0.488711,33333.33
2025-09-26,98977.18000000001,139.67,-1.027781,long_spread,0.452253,32477.43,0.144627,flat,0.485281,33166.42,0.90993,flat,0.570824,33333.33
2025-09-29,98860.88,-116.3,-1.111498,long_spread,0.410076,32361.13,0.028506,flat,0.486343,33166.42,0.614863,flat,0.636939,33333.33
2025-09-30,98778.74,-82.14,-1.383322,long_spread,0.377,32278.99,-0.13799,flat,0.484936,33166.42,0.375328,flat,0.710372,33333.33
2025-10-01,98920.01,141.28,-0.808217,long_spread,0.348988,32420.26,-0.211456,flat,0.482792,33166.42,0.298552,flat,0.729743,33333.33
2025-10-02,98805.82,-114.19,-1.269256,long_spread,0.319765,32306.07,0.12302,flat,0.483979,33166.42,0.300691,flat,0.74663,33333.33
2025-10-03,98923.23,117.41,-1.025342,long_spread,0.298195,32423.48,0.093506,flat,0.481909,33166.42,0.734526,flat,0.745569,33333.33
2025-10-06,99046.04,122.81,-0.66179,long_spread,0.26851,32546.29,-0.174528,flat,0.479703,33166.42,0.887863,flat,0.733255,33333.33
